Brand,Weight,CPU Series,CPU Model,Cache,RAM,Memory,Size,Stock_statu,Price
لنوو,حدود 1.7 کیلوگرم,Celeron,,4 مگابایت,4 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۸٫۱۲۵٫۰۰۰ تومان
ایسوس,2.0,Core i7,,24MB,16GB,512GB,15.6,0,از ۵۶٫۹۵۰٫۰۰۰ تومان
مک بوک ایر,1.29 کیلوگرم,Apple M1,M1,12 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۳۷٫۰۰۰٫۰۰۰ تومان
لنوو,2.3,Core i5,,18MB,16GB,512GB,15.6,0,از ۳۴٫۴۷۴٫۰۰۰ تومان
لنوو,2.43 کیلوگرم,Core i3,,6 مگابایت,12 گیگابایت,1 ترابایت + 256 گیگابایت,15.6 اینچ,0,از ۱۵٫۱۹۹٫۰۰۰ تومان
ایسوس,2.3,Core i5,,8MB,8GB,512GB,15.6,0,از ۳۲٫۲۰۰٫۰۰۰ تومان
hp,,,,,,,,1,از ۱۲٫۹۲۱٫۵۰۰ تومان
hp,2.2,Core i5,,18MB,8GB,512GB,15.6,0,از ۲۹٫۶۰۰٫۰۰۰ تومان
مایکروسافت,1.11,Corei5,1035G1,6MB,8GB,256GB,,0,از ۲۱٫۴۰۰٫۰۰۰ تومان
ایسوس,2.3kg,11400H,Core i5,12 مگابایت,8GB,512GB,15.6 اینچ,0,از ۳۶٫۴۷۹٫۰۰۰ تومان
لنوو,1.7 کیلوگرم,Gemini Lake Refresh,Celeron N4020,,4GB,128GB,15.6 اینچ,0,از ۹٫۰۰۰٫۰۰۰ تومان
لنوو,1.6,Core i5,,8MB,8GB,1TB,15.6,0,از ۲۱٫۱۰۰٫۰۰۰ تومان
لنوو,2.3,Core i7,,24MB,16GB,512GB,15.6,0,از ۴۱٫۴۷۹٫۰۰۰ تومان
ایسوس,1.8,Core i5,,8MB,8GB,512GB,15.6,0,از ۲۳٫۷۰۵٫۰۰۰ تومان
دل,1.6 کیلوگرم,Apple M2,,12 مگابایت,16 گیگابایت,512 گیگابایت,14.2 اینچ,0,از ۹۶٫۸۹۹٫۰۰۰ تومان
لنوو,1.39 کیلوگرم,11th Gen\Tiger Lake,Core i5-1135G7,,8GB,512GB,14.0 اینچ,0,از ۲۲٫۷۹۹٫۰۰۰ تومان
دل,1.4 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۵۹٫۶۰۰٫۰۰۰ تومان
ایسوس,2.2 کیلوگرم,Core i7,,24 مگابایت,16 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۵۶٫۰۰۰٫۰۰۰ تومان
لنوو,2.4 کیلوگرم,11th Gen\Tiger Lake,Core i7-11800H,,16GB,1TB,15.6 اینچ,0,از ۵۶٫۲۰۰٫۰۰۰ تومان
hp,2.2,Core i5,,18MB,16GB,512GB,15.6,0,از ۳۲٫۹۰۰٫۰۰۰ تومان
ایسوس,2.5 کیلوگرم,Core i7,,24 مگابایت,16 گیگابایت,512 گیگابایت,16 اینچ,0,از ۸۲٫۲۹۹٫۰۰۰ تومان
ایسوس,2.1,Ryzen 7,,16MB,8GB,1TB,15.6,0,از ۴۷٫۸۹۹٫۰۰۰ تومان
ایسوس,2.30 کیلوگرم,11Gen\Tiger Lake,Core i5-11400H,,16GB,512GB,15.6 اینچ,0,از ۳۸٫۲۰۰٫۰۰۰ تومان
لنوو,2.41 کیلوگرم,Core i3,,6 مگابایت,4 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۱۳٫۲۹۹٫۰۰۰ تومان
ایسوس,2Kg,12650H,Core i7,24 مگابایت حافظه کش,16GB,1TB,15.6 اینچ,0,از ۵۹٫۴۰۰٫۰۰۰ تومان
دل,1.9,,Core i7 8850H,,16 گیگابایت,512 گیگابایت,15.6 اینچ,1,از ۲۳٫۰۰۰٫۰۰۰ تومان
ایسوس,1.9 کیلوگرم,Celeron,N4000,4 مگابایت,,,15.6 اینچ,0,از ۱۲٫۵۰۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,256 گیگابایت,13.6 اینچ,0,از ۵۶٫۵۸۵٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,Core i7,1255U,12 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۱٫۶۷۹٫۰۰۰ تومان
ایسوس,2.1,Ryzen 7,,8MB,16GB,1TB,15.6,0,از ۴۸٫۲۰۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,11th Gen\Tiger Lake,Core i5-1135G7,,12GB,256GB,15.6 اینچ,0,از ۲۲٫۹۷۹٫۰۰۰ تومان
hp,2.4,Core i7,,24MB,16GB,512GB,16.1,0,از ۴۴٫۵۰۰٫۰۰۰ تومان
لنوو,1.12,Core i7,,12MB,16GB,512GB,14.0,0,از ۱۶٫۵۰۰٫۰۰۰ تومان
ایسوس,1.9,Celeron,,4MB,4GB,,15.6,0,از ۱۰٫۲۰۰٫۰۰۰ تومان
دل,1.4 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۵۷٫۷۰۰٫۰۰۰ تومان
ایسوس,2.2Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,1TB,15.6 اینچ,0,از ۴۸٫۹۶۰٫۰۰۰ تومان
ایسر,2.5 کیلوگرم,Core i7,,24 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۷٫۳۳۴٫۰۰۰ تومان
hp,2.2,Core i5,,18MB,16GB,1TB,15.6,0,از ۳۴٫۸۹۰٫۰۰۰ تومان
لنوو,1.5,Celeron,,4MB,4GB,,15.6,0,از ۸٫۵۲۰٫۰۰۰ تومان
ایسوس,2.2,Ryzen 7,,20MB,16GB,512GB,15.6,0,از ۴۲٫۹۰۰٫۰۰۰ تومان
لنوو,2.4,Core i7,,24MB,16GB,512GB,15.6,0,از ۵۹٫۹۷۹٫۰۰۰ تومان
hp,2.4,Core i7,,24MB,16GB,512GB,16.1,0,از ۳۷٫۲۰۰٫۰۰۰ تومان
ایسوس,1.80 کیلوگرم,11th Gen\Tiger Lake,Core i5-1135G7,,8GB,512GB,15.6 اینچ,0,از ۲۸٫۱۰۰٫۰۰۰ تومان
مک بوک ایر,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,256 گیگابایت,13.6 اینچ,0,از ۵۶٫۸۹۸٫۰۰۰ تومان
apple,1.6 کیلوگرم,Apple M1,M1 Pro,24 مگابایت,16 گیگابایت,512 گیگابایت,14.2 اینچ,0,از ۸۶٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i5,,12MB,16GB,1TB,15.6,0,از ۳۸٫۸۶۹٫۰۰۰ تومان
ایسوس,2.3kg,6800H,Ryzen 7,16 مگابایت,32GB,1TB,15.6 اینچ,0,از ۶۰٫۸۷۹٫۰۰۰ تومان
ایسوس,1.9,Ryzen 7,,8MB,8GB,256GB,15.6,0,از ۳۰٫۴۰۰٫۰۰۰ تومان
ایسوس,3 کیلوگرم,Raptor Lake,,36 مگابایت,16 گیگابایت,1 ترابایت,18.0 اینچ,0,از ۱۱۱٫۳۸۰٫۰۰۰ تومان
دل,2.15 کیلوگرم,Apple M2,M2 Pro,24 مگابایت,16 گیگابایت,512 گیگابایت,16.2 اینچ,0,از ۱۰۳٫۵۹۰٫۰۰۰ تومان
لنوو,1.7,Core i3,,6MB,8GB,,15.6,0,از ۱۴٫۲۷۹٫۰۰۰ تومان
ایسوس,1.8Kg,1065G7,Core i7,8 مگابایت,16GB,1TB,15.6 اینچ,0,از ۲۷٫۹۸۸٫۰۰۰ تومان
ایسوس,2.3,Core i5,,12MB,16GB,512GB,15.6,0,از ۳۶٫۹۹۰٫۰۰۰ تومان
مایکروسافت,1.9 کیلوگرم,Core i7,8650U,8 مگابایت,16 گیگابایت,512 گیگابایت,15.0 اینچ,0,از ۴۰٫۰۰۰٫۰۰۰ تومان
لنوو,2.25 کیلوگرم,11th Gen\Tiger Lake,Core i7-11370H,,16GB,256GB,15.6 اینچ,0,از ۲۹٫۲۲۰٫۰۰۰ تومان
دل,2.1 کیلوگرم,Apple M1,M1 Pro,24 مگابایت,16 گیگابایت,512 گیگابایت,16.2 اینچ,0,از ۹۲٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i5,,8MB,16GB,512GB,15.6,0,از ۳۳٫۴۷۹٫۰۰۰ تومان
ایسر,1.7 KG,1135G7,Core i5,8 مگابایت,8 گیگابایت,1TB,,0,از ۲۱٫۷۵۰٫۰۰۰ تومان
,1.38 کیلوگرم,Core i5,,8 مگابایت,8 گیگابایت,512 گیگابایت,14 اینچ,0,از ۲۲٫۰۹۹٫۰۰۰ تومان
hp,,,,,,,,1,از ۱۹٫۱۵۱٫۵۰۰ تومان
لنوو,2.6 کیلوگرم,Core i7,GeForce RTX 4050,24 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۵۵٫۵۰۰٫۰۰۰ تومان
hp,,,,,,,,0,۱۸٫۰۰۰٫۰۰۰ تومان
دل,۲.۲ کیلوگرم,Core i5,7300u,3MB,,,۱۵.۶ اینچ,1,از ۱۳٫۵۰۰٫۰۰۰ تومان
دل,4.5 KG,,,3 MB,,,,0,۱۹٫۵۰۰٫۰۰۰ تومان
لنوو,2.49,Core i7,,24MB,32GB,1TB,16.0,0,از ۶۹٫۴۷۹٫۰۰۰ تومان
ایسوس,1.7 کیلوگرم,Core i7,1255U,12 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۲۹٫۸۵۰٫۰۰۰ تومان
ایسوس,1.8,Corei7,1065G7,12MB,16GB,512GB,,0,از ۲۸٫۱۰۰٫۰۰۰ تومان
dell,,,,,,,,1,۵٫۴۵۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,256 گیگابایت,13.6 اینچ,0,از ۵۵٫۸۹۹٫۰۰۰ تومان
لنوو,2.49,Core i7,,24MB,32GB,1TB,16.0,0,از ۷۰٫۴۵۰٫۰۰۰ تومان
,,,,,,,,0,۶۶٫۰۴۵٫۰۰۰ تومان
ایسوس,2.2Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,512GB,15.6 اینچ,0,از ۴۶٫۳۹۰٫۰۰۰ تومان
مک بوک ایر,1.29 کیلوگرم,Apple M1,M1,12 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۴۲٫۹۹۹٫۰۰۰ تومان
لنوو,2.6 کیلوگرم,Core i3 ,380M ,سه مگابایت ,چهار گیگابایت ,256 گیگابایت ssd,15.6 اینچ ,1,۵٫۰۰۰٫۰۰۰ تومان
ایسوس,1.57 کیلوگرم,Celeron,,4 مگابایت,4 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۱۱٫۹۴۵٫۰۰۰ تومان
ایسوس,1600 گرم,Core i3,10110U,,,1 ترابایت,14 اینچ,0,از ۱۶٫۸۵۰٫۰۰۰ تومان
ایسوس,0.78 کیلوگرم,Pentium,N6000,4 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۱۹٫۹۰۰٫۰۰۰ تومان
hp,1.63 کیلوگرم,Core i5,8250U,6 مگابايت,,,14 اینچ,1,از ۱۳٫۷۰۰٫۰۰۰ تومان
لنوو,1.7 کیلوگرم,Core i3,1115G4,4 مگابایت,12 گیگابایت,,15.6 اینچ,0,از ۱۶٫۵۹۳٫۰۰۰ تومان
ایسوس,1.8,Core i5,,8MB,8GB,512GB,15.6,0,از ۲۹٫۹۸۰٫۰۰۰ تومان
لنوو,2.4,Ryzen 7,,16MB,32GB,1TB,15.6,0,از ۲۳٫۹۹۰٫۰۰۰ تومان
دل,2.2 کیلو گرم,Core i7,6820HQ,,,,14.5 تا 15.9 اینچ,1,از ۱۹٫۳۰۰٫۰۰۰ تومان
ایسوس,2.0,Core i7,,24MB,16GB,1TB,15.6,0,از ۴۹٫۹۸۰٫۰۰۰ تومان
ایسوس,2.0,Core i7,,24MB,32GB,1TB,15.6,0,از ۶۴٫۷۷۰٫۰۰۰ تومان
لنوو,2,Corei7,1165G7,12MB,12GB,512GB,,0,از ۲۴٫۵۹۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,512 گیگابایت,13.3 اینچ,0,از ۷۰٫۵۰۰٫۰۰۰ تومان
ایسوس,2.2,Core i7,,24MB,16GB,1TB,15.6,0,از ۶۲٫۴۸۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,11th Gen\Tiger Lake,Core i5-1155G7,,8GB,1TB,15.6 اینچ,0,از ۲۱٫۶۵۰٫۰۰۰ تومان
دل,2.2Kg,12650H,Core i7,24 MB,16GB,1TB,15.6 اینچ,0,از ۷۸٫۹۵۰٫۰۰۰ تومان
مایکروسافت,1.5 کیلوگرم,Core i5,1035G7,6 مگابایت,8 گیگابایت,256 گیگابایت,13.5 اینچ,0,از ۳۵٫۳۰۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,11th Gen\Tiger Lake,Core i5-1135G7,,12GB,1TB,15.6 اینچ,0,از ۲۱٫۷۹۹٫۰۰۰ تومان
hp,1.58 کیلوگرم,,,3 مگابايت,,,14.1 اینچ,1,از ۹٫۸۰۰٫۰۰۰ تومان
ایسوس,2.3,Core i9,,24MB,16GB,1TB,15.6,0,از ۷۷٫۸۷۹٫۰۰۰ تومان
ایسوس,2.3kg,12900H,Core i9,24 MB,16GB,1TB,15.6 اینچ,0,از ۹۴٫۴۷۹٫۰۰۰ تومان
دل,1320 گرم,,,,,,13.4 اینچ FHD,0,از ۴۰٫۹۶۳٫۰۰۰ تومان
مایکروسافت,,1035G1,Core i5,6 مگابایت,4GB,64GB,12.4 اینچ,0,از ۱۷٫۴۰۰٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,Ryzen 5,5600H,19 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۲٫۲۹۰٫۰۰۰ تومان
ایسوس,1.8,Core i7,,12MB,8GB,512GB,15.6,0,از ۲۶٫۲۰۰٫۰۰۰ تومان
اپل,2.1 کیلوگرم,Apple M1,M1 Pro,24 مگابایت,16 گیگابایت,1 ترابایت,16.2 اینچ,0,از ۱۰۰٫۰۰۰٫۰۰۰ تومان
مایکروسافت,,,,,,,,0,۱۱۴٫۴۰۰٫۰۰۰ تومان
لنوو,1.7,Corei3,1115G4,6MB,8GB,256GB,,0,از ۱۴٫۸۰۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,Core i3,1115G4,6 مگابایت,12 گیگابایت,,15.6 اینچ,0,از ۱۶٫۰۷۹٫۰۰۰ تومان
ایسر,2.5,Core i7,,24MB,16GB,1TB,15.6,0,از ۴۳٫۴۷۹٫۰۰۰ تومان
ایسوس,1.8Kg,12500H,Core i5,18مگابایت,8GB,512GB,15.6 اینچ,0,از ۳۷٫۲۰۰٫۰۰۰ تومان
ایسوس,1.8,Core i7,,12MB,16GB,512GB,15.6,0,از ۲۹٫۷۰۰٫۰۰۰ تومان
دل,1.39,Core i5,,8MB,,,14.0,0,۲۴٫۹۰۰٫۰۰۰ تومان
hp,1.3 کیلوگرم,Core i7,1165G7,12 مگابایت,16 گیگابایت,1 ترابایت,13.5 اینچ,1,از ۳۷٫۹۰۰٫۰۰۰ تومان
ایسر,2.3kg,12700H,Core i7,24 MB,16GB,512GB,15.6 اینچ,0,از ۵۱٫۴۵۰٫۰۰۰ تومان
لنوو,1.66 کیلوگرم,11th Gen\Tiger Lake,Core i7-1165G7,,16GB,1TB,15.6 اینچ,0,از ۳۲٫۳۰۰٫۰۰۰ تومان
لنوو,2.2 کیلوگرم,Ryzen 5,5600H,19 مگابایت,16 گیگابایت,1 ترابایت,15.6 اینچ,0,۲۸٫۶۰۰٫۰۰۰ تومان
hp,,,,,,,,1,۵٫۲۰۰٫۰۰۰ تومان
ایسوس,2 کیلوگرم,corei7,11370H,12 مگابایت,16 گیگابایت قابل ارتقا تا 32 گیگابایت,512GB SSD 3.0 M.2 NVMe™ PCIe®,15.6 اینچ,0,از ۴۸٫۹۷۰٫۰۰۰ تومان
لنوو,1.65,Corei7,1165G7,12MB,8GB,1TB,,0,از ۲۵٫۶۹۷٫۰۰۰ تومان
دل,1.6 کیلوگرم,Apple M2,M2 Pro,24 مگابایت,16 گیگابایت,1 ترابایت,14.2 اینچ,0,از ۱۱۵٫۴۹۹٫۰۰۰ تومان
ایسوس,2.0 کیلوگرم,Core i9,12900H,24 مگابایت,16 گیگابایت,1 ترابایت,16 اینچ,0,از ۸۶٫۱۹۹٫۰۰۰ تومان
اپل,1.29 کیلوگرم,Apple M1,M1,12 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۴۳٫۷۹۹٫۰۰۰ تومان
لنوو,,Celeron,N4020,,,128 گیگابایت,11.6 اینچ,0,از ۹٫۸۹۰٫۰۰۰ تومان
ایسوس,2.2 کیلوگرم,Core i5,,18 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۴۱٫۶۰۰٫۰۰۰ تومان
لنوو,2.4,Core i7,,24MB,16GB,,15.6,0,از ۵۵٫۱۲۰٫۰۰۰ تومان
اچ‌پی,1.5Kg,1235U,Core i5,12 مگابایت,8GB,512GB,14 اینچ,0,از ۳۹٫۶۰۰٫۰۰۰ تومان
مایکروسافت,1.642,Corei7,1065G7,8MB,16GB,256GB,,0,از ۵۶٫۰۰۰٫۰۰۰ تومان
ایسوس,2.20 کیلوگرم,12th Gen\Alder Lake,Core i7-12700H,,16GB,512GB,15.6 اینچ,0,از ۵۵٫۷۰۰٫۰۰۰ تومان
ایسوس,2.3,Ryzen 9,,16MB,16GB,1TB,15.6,0,از ۶۰٫۵۰۰٫۰۰۰ تومان
ایسوس,1.4,Celeron,,4MB,4GB,256GB,14.0,0,از ۱۶٫۸۷۹٫۰۰۰ تومان
hp,1.69 kg,,,8Mb,8g,,15.6 اینچ,1,۱۷٫۰۰۰٫۰۰۰ تومان
ایسوس,2.0,Ryzen 7,,16MB,16GB,1TB,15.6,0,از ۵۱٫۴۴۹٫۰۰۰ تومان
ایسوس,2.2Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,512GB,15.6 اینچ,0,از ۵۳٫۷۷۹٫۰۰۰ تومان
ایسوس,1.7Kg,1255U,Core i7,12 مگابایت,8GB,512GB,16 اینچ,0,از ۳۲٫۹۸۵٫۰۰۰ تومان
لنوو,1.85 کیلوگرم,Ryzen 5,5500U,11 مگابایت,12 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۱۹٫۷۸۰٫۰۰۰ تومان
ایسوس,1.7 کیلوگرم,Core i3,1215U,10 مگابایت,4 گیگابایت,256 گیگابایت,15.6 اینچ,0,از ۱۸٫۸۹۹٫۰۰۰ تومان
dell,1.77 کیلوگرم,,6820HQ,,,,,0,از ۲۰٫۹۰۰٫۰۰۰ تومان
دل,,Core i7,,12مگابایت,"16 گیگابایت, 32 گیگابایت",,,1,از ۲۹٫۰۰۰٫۰۰۰ تومان
ایسوس,1.8,Core i7,,12MB,16GB,1TB,15.6,0,از ۳۸٫۴۸۹٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,Ryzen 7,5800H,20 مگابایت,16 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۴۵٫۸۰۰٫۰۰۰ تومان
دل,2.5 کیلوگرم,Core i7,12700H,24 مگابایت,16 گیگابایت,,15.6 اینچ,0,از ۲۷٫۹۰۰٫۰۰۰ تومان
لنوو,1.65 کیلوگرم,Core i3,,6 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۱۴٫۸۷۹٫۰۰۰ تومان
دل,1.65 kg,,,8Mb,8g,,15.6 اینچ,1,۲۶٫۰۰۰٫۰۰۰ تومان
ام اس آی,1.86,Corei5,11400H,12MB,8GB,256GB,,0,از ۳۰٫۷۹۹٫۰۰۰ تومان
دل,3.3 کیلوگرم,13980HX,Core i9,36 مگابایت,64GB,4TB,17.3 اینچ,0,از ۲۷۵٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3kg,6900HX,Ryzen 9,16 مگابایت,16GB,1TB,17.3 اینچ,0,از ۶۳٫۰۰۰٫۰۰۰ تومان
,,,,,,,,0,از ۸۴٫۰۰۰٫۰۰۰ تومان
hp,2.2,Core i7,,24MB,16GB,512GB,15.6,0,از ۴۱٫۹۰۰٫۰۰۰ تومان
ایسوس,2.4Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,1TB,16 اینچ,0,از ۶۸٫۸۰۰٫۰۰۰ تومان
hp,1.90 کیلو گرم,core i7,,4 مگابایت,,,15.6 اینچ /فول اچ دی / IPS,0,از ۱۸٫۹۰۰٫۰۰۰ تومان
hp,2 کیلوگرم,,Ryzen 5 5600H,16 مگابایت,,512 گیگابابت,15.6 اینچ,0,از ۳۰٫۲۰۰٫۰۰۰ تومان
ایسوس,1.8,Ryzen 7,,16MB,16GB,512GB,16.0,0,از ۳۲٫۴۰۰٫۰۰۰ تومان
دل,"3,19 kg",Core i۹,Intel Core i9-13950HX,36 مگابایت کش,32GB DDR5 5600MHZ,2 ترابایت NVMe,18 اینچ,0,۳۲۸٫۸۰۰٫۰۰۰ تومان
دل,1.38 کیلوگرم,11th Gen Intel Core,,,8 گیگابایت,512 گیگابایت,14 اینچ,0,از ۲۲٫۰۰۰٫۰۰۰ تومان
ایسوس,1.30 کیلوگرم,Ryzen 6000,Ryzen 9-6900HS,,16GB,1TB,13.4 اینچ,0,از ۶۹٫۵۹۰٫۰۰۰ تومان
hp,2.29 کیلوگرم,Core i5,12450H,12MB cache,,512GB SSD,15.6 اینچ,0,از ۳۴٫۱۵۰٫۰۰۰ تومان
دل,1.576 کیلوگرم,Core i5,Intel Core i5-6300U,3MB,,,13.5 اینچ,0,از ۱۷٫۵۰۰٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,,,4 مگابایت,4 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۱۱٫۹۵۰٫۰۰۰ تومان
ایسوس,1.8,Corei7,1065G7,12MB,8GB,1TB,,0,از ۲۷٫۰۰۰٫۰۰۰ تومان
hp,1.5Kg,1255U,Core i7,12 مگابایت,16GB,1TB,14 اینچ,0,از ۵۲٫۳۷۰٫۰۰۰ تومان
hp,1.1,,Core i7,,16 گیگابایت,512 گیگابایت,13.5 اینچ,1,۱۷٫۵۰۰٫۰۰۰ تومان
لنوو,2.6,Core i7,,24MB,16GB,1TB,16.0,0,از ۴۲٫۰۰۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,512 گیگابایت,13.6 اینچ,0,از ۶۹٫۷۹۹٫۰۰۰ تومان
ایسوس,2.67,Ryzen 9,,64MB,64GB,4TB,16.0,0,۳۴۴٫۹۷۹٫۰۰۰ تومان
ایسوس,2Kg,12650H,Core i7,24 مگابایت حافظه کش,16GB,1TB,15.6 اینچ,0,از ۵۵٫۳۰۰٫۰۰۰ تومان
دل,1.8کیلوگرم,Core i7,6600u,4MB,,256GB,14 اینچ,1,از ۹٫۰۰۰٫۰۰۰ تومان
مایکروسافت,1.11 کیلوگرم,Core i5,1035G1,6 مگابایت,,128 گیگابایت,12.4 اینچ,0,از ۲۰٫۶۰۰٫۰۰۰ تومان
مک بوک پرو,1.4 کیلوگرم,Apple M1,M1,12 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۵۷٫۵۰۰٫۰۰۰ تومان
